Folio Emetrix,REGIÓN,CIUDAD,ESTADO,GRUPO,CADENA,VOLT,Longitud,Latitud,Volt (burbuja),Folio más cercano,Distancia mín (km),Volt tienda cercana,Volt vs cercana,periodo
154596,NORTE,GUADALAJARA,JALISCO,DUERO,DUERO,277.35,-103.260724,20.6582511,277.35,154592,0.418933939,277.35,0,13/07/2026-18/07/2026
154641,NORTE,GUADALAJARA,JALISCO,SUPER ABARROTES LA LUPITA,SUPER ABARROTES LA LUPITA,225,-103.3824446,20.6497675,225,154644,0.139395658,225,0,13/07/2026-18/07/2026
154644,NORTE,GUADALAJARA,JALISCO,SUPER ABARROTES LA LUPITA,SUPER ABARROTES LA LUPITA,225,-103.3812196,20.650275,225,154641,0.139395658,225,0,13/07/2026-18/07/2026
154662,SUR,SAN CRISTOBAL,CHIAPAS,ABARROTES EL TIGRE,ABARROTES EL TIGRE,255,-92.6637794,16.7503321,255,1923472,1.398822611,270,-15,13/07/2026-18/07/2026
154673,CENTRO,JACONA,MICHOACÁN,PROMOTORA Y COMERCIALIZADORA ALONDRA,PROMOTORA Y COMERCIALIZADORA ALONDRA,255,-102.3146617,19.9431288,255,1923626,0.262392899,277.35,-22.35,13/07/2026-18/07/2026
154674,CENTRO,JACONA,MICHOACÁN,PROMOTORA Y COMERCIALIZADORA ALONDRA,PROMOTORA Y COMERCIALIZADORA ALONDRA,255,-102.3068895,19.9626382,255,1923621,0.491339776,277.35,-22.35,13/07/2026-18/07/2026
154675,CENTRO,JACONA,MICHOACÁN,PROMOTORA Y COMERCIALIZADORA ALONDRA,PROMOTORA Y COMERCIALIZADORA ALONDRA,255,-102.3060348,19.9415442,255,1923626,0.691078484,277.35,-22.35,13/07/2026-18/07/2026
154676,CENTRO,ZAMORA,MICHOACÁN,PROMOTORA Y COMERCIALIZADORA ALONDRA,PROMOTORA Y COMERCIALIZADORA ALONDRA,225,-102.2849898,19.9781185,225,1923624,0.289763695,253.05,-28.05,13/07/2026-18/07/2026
154677,CENTRO,ZAMORA,MICHOACÁN,PROMOTORA Y COMERCIALIZADORA ALONDRA,PROMOTORA Y COMERCIALIZADORA ALONDRA,225,-102.2741542,19.9728851,225,1923615,0.775534949,277.35,-52.35,13/07/2026-18/07/2026
154678,CENTRO,ZAMORA,MICHOACÁN,PROMOTORA Y COMERCIALIZADORA ALONDRA,PROMOTORA Y COMERCIALIZADORA ALONDRA,225,-102.2885,20.009,225,1923628,0.293387691,277.35,-52.35,13/07/2026-18/07/2026
154680,CENTRO,ZAMORA,MICHOACÁN,PROMOTORA Y COMERCIALIZADORA ALONDRA,PROMOTORA Y COMERCIALIZADORA ALONDRA,255,-102.3070902,19.9994372,255,1923630,0.107556114,277.35,-22.35,13/07/2026-18/07/2026
154682,CENTRO,ZAMORA,MICHOACÁN,PROMOTORA Y COMERCIALIZADORA ALONDRA,PROMOTORA Y COMERCIALIZADORA ALONDRA,225,-102.2646557,19.9933288,225,1923623,0.259455123,277.35,-52.35,13/07/2026-18/07/2026
154683,CENTRO,ZAMORA,MICHOACÁN,PROMOTORA Y COMERCIALIZADORA ALONDRA,PROMOTORA Y COMERCIALIZADORA ALONDRA,225,-102.2847248,19.9815766,225,1923619,0.083699741,277.35,-52.35,13/07/2026-18/07/2026
154684,CENTRO,ZAMORA,MICHOACÁN,PROMOTORA Y COMERCIALIZADORA ALONDRA,PROMOTORA Y COMERCIALIZADORA ALONDRA,225,-102.2396131,19.9850751,225,1923629,1.42358305,277.35,-52.35,13/07/2026-18/07/2026
154710,SUR,OAXACA,OAXACA,CONSUMO Z,PCZ,345,-96.721277,17.0685351,345,154713,0.503876612,345,0,13/07/2026-18/07/2026
154711,SUR,OAXACA,OAXACA,CONSUMO Z,PCZ,345,-96.7238978,17.0618067,345,1923712,0.285209797,345,0,13/07/2026-18/07/2026
154712,SUR,OAXACA,OAXACA,CONSUMO Z,PCZ,345,-96.7249831,17.0510978,345,154714,0.571854367,345,0,13/07/2026-18/07/2026
154713,SUR,OAXACA,OAXACA,CONSUMO Z,PCZ,345,-96.7167752,17.0699543,345,154737,0.47012887,345,0,13/07/2026-18/07/2026
154714,SUR,OAXACA,OAXACA,CONSUMO Z,PCZ,345,-96.7238335,17.0561218,345,154716,0.343373159,345,0,13/07/2026-18/07/2026
154715,SUR,OAXACA,OAXACA,CONSUMO Z,PCZ,345,-96.713062,17.0033262,345,1923709,5.222916597,345,0,13/07/2026-18/07/2026
154716,SUR,OAXACA,OAXACA,CONSUMO Z,PCZ,345,-96.726423,17.0579677,345,1923707,0.114365418,345,0,13/07/2026-18/07/2026
154717,SUR,OAXACA,OAXACA,CONSUMO Z,PCZ,345,-96.7313375,17.0491799,345,154712,0.708385524,345,0,13/07/2026-18/07/2026
154720,SUR,OAXACA,OAXACA,CONSUMO Z,PCZ,345,-96.7575201,17.0735386,345,154722,1.779438906,345,0,13/07/2026-18/07/2026
154721,SUR,OAXACA,OAXACA,CONSUMO Z,PCZ,352.5,-96.7641111,17.1224012,352.5,154718,2.92916832,345,7.5,13/07/2026-18/07/2026
154722,SUR,OAXACA,OAXACA,CONSUMO Z,PCZ,345,-96.7433518,17.0820629,345,154725,1.302653777,345,0,13/07/2026-18/07/2026
154724,SUR,OAXACA,OAXACA,CONSUMO Z,PCZ,345,-96.7027952,17.0864429,345,154728,0.737108209,345,0,13/07/2026-18/07/2026
154725,SUR,OAXACA,OAXACA,CONSUMO Z,PCZ,345,-96.7320288,17.0865459,345,154722,1.302653777,345,0,13/07/2026-18/07/2026
154726,SUR,OAXACA,OAXACA,CONSUMO Z,PCZ,345,-96.7193474,17.0937825,345,154727,0.56978002,390,-45,13/07/2026-18/07/2026
154727,SUR,OAXACA,OAXACA,CONSUMO Z,PCZ,390,-96.7170558,17.0891501,390,154726,0.56978002,345,45,13/07/2026-18/07/2026
154728,SUR,OAXACA,OAXACA,CONSUMO Z,PCZ,345,-96.706422,17.0807927,345,154731,0.386677067,345,0,13/07/2026-18/07/2026
154729,SUR,OAXACA,OAXACA,CONSUMO Z,PCZ,390,-96.7110863,17.0738667,390,154738,0.112897279,345,45,13/07/2026-18/07/2026
154730,SUR,OAXACA,OAXACA,CONSUMO Z,PCZ,345,-96.7224295,17.0788151,345,1923711,0.513064013,345,0,13/07/2026-18/07/2026
154731,SUR,OAXACA,OAXACA,CONSUMO Z,PCZ,345,-96.7100292,17.0812438,345,1923708,0.307711178,345,0,13/07/2026-18/07/2026
154732,SUR,OAXACA,OAXACA,CONSUMO Z,PCZ,345,-96.7083345,17.0925305,345,154724,0.897123022,345,0,13/07/2026-18/07/2026
154733,SUR,OAXACA,OAXACA,CONSUMO Z,PCZ,345,-96.7049909,17.0696488,345,154736,0.682086232,345,0,13/07/2026-18/07/2026
154734,SUR,OAXACA,OAXACA,CONSUMO Z,PCZ,345,-96.7245509,17.0722836,345,154710,0.542991947,345,0,13/07/2026-18/07/2026
154735,SUR,OAXACA,OAXACA,CONSUMO Z,PCZ,345,-96.7147394,17.0772405,345,1923710,0.252903695,345,0,13/07/2026-18/07/2026
154736,SUR,OAXACA,OAXACA,CONSUMO Z,PCZ,345,-96.6986028,17.0690692,345,154733,0.682086232,345,0,13/07/2026-18/07/2026
154737,SUR,OAXACA,OAXACA,CONSUMO Z,PCZ,345,-96.7162792,17.0741556,345,1923710,0.220182106,345,0,13/07/2026-18/07/2026
154738,SUR,OAXACA,OAXACA,CONSUMO Z,PCZ,345,-96.7107918,17.0748422,345,154729,0.112897279,390,-45,13/07/2026-18/07/2026
154750,NORTE,CHIHUAHUA,CHIHUAHUA,ABASTECEDORA COMERCIAL DE PARRAL,ABASTECEDORA COMERCIAL DE PARRAL,246.45,-106.1207391,28.69793172,246.45,1924067,0.326062609,238.05,8.4,13/07/2026-18/07/2026
154883,NORTE,GUADALAJARA,JALISCO,DUERO,DUERO,244.5,0,0,244.5,1948479,0,244.5,0,13/07/2026-18/07/2026
1923263,CENTRO,IZTAPALAPA,MEXICO,ANICETOS,LOS ANICETOS,229.95,-99.092768,19.376666,229.95,1923299,0.039236884,300,-70.05,13/07/2026-18/07/2026
1923270,CENTRO,ECATEPEC,ESTADO DE MEXICO,SUPER TIENDAZZ,SUPER TIENDAZZ,233.55,-99.0039852,19.61522425,233.55,1923725,0.036934157,270,-36.45,13/07/2026-18/07/2026
1923272,CENTRO,ECATEPEC,ESTADO DE MEXICO,SUPER TIENDAZZ,SUPER TIENDAZZ,229.95,-99.0012576,19.6166034,229.95,1924040,0.041070812,249,-19.05,13/07/2026-18/07/2026
1923281,CENTRO,IZTAPALAPA,MEXICO,TIENDAS DE DESCUENTO LA CENTRAL,TIENDAS DE DESCUENTO LA CENTRAL,228.9,-99.091308,19.3756,228.9,154136,0.005111374,229.95,-1.05,13/07/2026-18/07/2026
1923283,CENTRO,IZTAPALAPA,MEXICO,TIENDAS DE DESCUENTO LA CENTRAL,TIENDAS DE DESCUENTO LA CENTRAL,228.9,-99.09301202,19.37527776,228.9,1924031,0.048914299,228.9,0,13/07/2026-18/07/2026
